date,sales_rep,product,units,price,total_sales,city
1/7/2013,Marian  Hill ,       Nestle Milky Bar Stick,1,231,231,Trivandrum
1/7/2013,Tracy  Reed ,    Nestle Maxibon Cookie,3,356,1068,Agra
1/7/2013,Trevor  Jones , Nestle Toffee Crumble,1,228,228,Pune
1/8/2013,Arturo  Francis ,        Nestle Smarties Pop-Up,3,383,1149,Ranchi
1/8/2013,Bobbie  Ryan ,    Nestle Smarties Pop-Up,2,433,866,Darjeeling
1/8/2013,Isabel  Cross ,   Nestle Aero Mint Potz,3,290,870,Ranchi
1/8/2013,Rachel  Gomez ,       Nestle Fab,21,207,4347,Delhi
1/9/2013,Willie  Vega ,       Nestle Rowntree Fruit Pastil,3,346,1038,Delhi
1/9/2013,Shari  Silva ,        Nestle Aero Mint Potz,2,327,654,Mysore
1/9/2013,Max  Rodgers ,       Nestle Aero Mint Potz,3,336,1008,Nagpur
1/9/2013,Lance  Yates ,       Nestle Maxibon Cookie,2,118,236,Srinagar
1/10/2013,Jenny  Garcia ,       Nestle Toffee Crumble,1,492,492,Shimla
1/10/2013,Peter  Hodges ,       Nestle Toffee Crumble,2,218,436,Shimla
1/10/2013,Drew  Rogers ,  Nestle Nobbly Bobbly,3,188,564,Delhi
1/10/2013,Marian  Hill ,    Nestle Smarties Pop-Up,1,361,361,Trivandrum
1/11/2013,Ruben  Nunez ,       Nestle Fab,1,494,494,Ahmedabad
1/11/2013,Mable  Lindsey ,     Nestle Nobbly Bobbly,19,342,6498,Ahmedabad
1/11/2013,Christina  Fuller , Nestle Maxibon Cookie,2,162,324,Nagpur
1/11/2013,Bernadette  Page ,        Nestle Fab,1,316,316,Delhi
1/11/2013,Lee  Mack ,   Nestle Aero Mint Potz,2,401,802,Delhi
1/11/2013,Marion  Glover ,       Nestle Toffee Crumble,2,443,886,Durgapur
1/11/2013,Cassandra  Franklin ,   Nestle Nobbly Bobbly,2,342,684,Delhi
1/11/2013,Eric  Rose ,      Nestle Nobbly Bobbly,3,498,1494,Mumbai
1/11/2013,Christy  Olson ,    Nestle Toffee Crumble,1,100,100,Surat
1/12/2013,Cecilia  Manning ,    Nestle Rolo Potz,2,178,356,Trivandrum
1/12/2013,Cecilia  Manning ,        Nestle Milky Bar Stick,1,352,352,Trivandrum
1/12/2013,Jaime  Pearson ,        Nestle Kit Kat Cone,1,279,279,Jodhpur
1/12/2013,Johanna  Boone ,    Nestle Rowntree Fruit Pastil,3,300,900,Mysore
1/12/2013,Dan  Peterson ,   Nestle Rowntree Screamers,1,320,320,Shimla
1/12/2013,Christy  Olson , Nestle Smarties Pop-Up,2,350,700,Surat
1/13/2013,Lula  Daniels ,  Nestle Fab,2,231,462,Nainital
1/13/2013,Rachel  Gomez ,  Nestle Rowntree Fruit Pastil,4,477,1908,Delhi
1/13/2013,Edwin  Malone ,       Nestle Aero Mint Potz,3,432,1296,Kolkata
1/13/2013,Dan  Peterson ,    Nestle Maxibon Cookie,2,149,298,Shimla
1/14/2013,Cassandra  Franklin , Nestle Fab,4,403,1612,Delhi
1/14/2013,Shari  Silva ,        Nestle Kit Kat Cone,2,489,978,Mysore
1/14/2013,Brooke  Horton ,     Nestle Fab,15,370,5550,Nainital
1/14/2013,Ben  Perez , Nestle Fab,2,191,382,Goa
1/14/2013,Willie  Vega ,       Nestle Milky Bar Stick,1,411,411,Delhi
1/15/2013,Bernadette  Page , Nestle Smarties Pop-Up,2,296,592,Delhi
1/15/2013,Drew  Rogers ,   Nestle Maxibon Cookie,3,203,609,Delhi
1/15/2013,Shari  Silva , Nestle Smarties Pop-Up,1,151,151,Mysore
1/15/2013,Elvira  Bowman , Nestle Rowntree Fruit Pastil,3,262,786,Srinagar
1/15/2013,Drew  Rogers ,   Nestle Kit Kat Cone,1,201,201,Delhi
1/15/2013,Rachel  Gomez , Nestle Fab,2,474,948,Delhi
1/16/2013,Drew  Rogers ,   Nestle Rowntree Fruit Pastil,2,406,812,Delhi
1/16/2013,Guillermo  Potter ,      Nestle Rolo Potz,2,236,472,Nainital
1/16/2013,Lula  Daniels , Nestle Milky Bar Stick,3,482,1446,Nainital
1/16/2013,Marion  Glover ,  Nestle Smarties Pop-Up,2,210,420,Durgapur
1/17/2013,Trevor  Jones ,      Nestle Maxibon Cookie,2,178,356,Pune
1/17/2013,Max  Rodgers ,        Nestle Rowntree Fruit Pastil,3,180,540,Nagpur
1/17/2013,Pauline  Beck ,      Nestle Aero Mint Potz,2,224,448,Pune
1/17/2013,Marion  Glover ,    Nestle Nobbly Bobbly,1,203,203,Durgapur
1/17/2013,Ernest  Davis ,        Nestle Aero Mint Potz,1,261,261,Mumbai
1/17/2013,Johanna  Boone ,       Nestle Milky Bar Stick,1,415,415,Mysore
1/17/2013,Salvador  Bass ,        Nestle Smarties Pop-Up,2,441,882,Goa
1/17/2013,Herman  Williams ,     Nestle Rowntree Screamers,3,380,1140,Darjeeling
1/18/2013,Shari  Silva ,      Nestle Kit Kat Cone,3,176,528,Mysore
1/18/2013,Robert  Munoz ,     Nestle Maxibon Cookie,2,414,828,Delhi
1/18/2013,Ellen  Weaver ,   Nestle Fab,3,395,1185,Hyderabad
1/18/2013,Bobbie  Ryan ,       Nestle Smarties Pop-Up,3,496,1488,Darjeeling
1/19/2013,Lance  Yates ,  Nestle Toffee Crumble,3,337,1011,Srinagar
1/19/2013,Mable  Lindsey ,       Nestle Milky Bar Stick,3,398,1194,Ahmedabad
1/20/2013,Ivan  Adkins ,       Nestle Aero Mint Potz,1,485,485,Mumbai
1/20/2013,Christina  Fuller ,    Nestle Rowntree Fruit Pastil,3,285,855,Nagpur
1/20/2013,Robert  Munoz ,      Nestle Toffee Crumble,21,418,8778,Delhi
1/20/2013,Johanna  Boone ,      Nestle Smarties Pop-Up,2,130,260,Mysore
1/20/2013,Cassandra  Franklin ,       Nestle Smarties Pop-Up,3,188,564,Delhi
1/20/2013,Cecilia  Manning ,     Nestle Kit Kat Cone,12,157,1884,Trivandrum
1/21/2013,Jenny  Garcia , Nestle Smarties Pop-Up,3,262,786,Shimla
1/21/2013,Jaime  Pearson ,        Nestle Milky Bar Stick,2,326,652,Jodhpur
1/21/2013,Rachel  Gomez , Nestle Milky Bar Stick,2,323,646,Delhi
1/21/2013,Ellen  Weaver ,  Nestle Smarties Pop-Up,3,191,573,Hyderabad
1/21/2013,Shari  Silva ,  Nestle Aero Mint Potz,1,265,265,Mysore
1/21/2013,Eric  Rose , Nestle Aero Mint Potz,3,414,1242,Mumbai
1/21/2013,Lula  Daniels ,    Nestle Milky Bar Stick,2,252,504,Nainital
1/21/2013,Salvador  Bass ,    Nestle Maxibon Cookie,1,243,243,Goa
1/22/2013,Elvira  Bowman ,       Nestle Aero Mint Potz,22,491,10802,Srinagar
1/22/2013,Mable  Lindsey ,      Nestle Maxibon Cookie,2,150,300,Ahmedabad
1/22/2013,Andrew  Meyer ,        Nestle Fab,1,264,264,Mumbai
1/22/2013,Lynette  Brewer ,     Nestle Toffee Crumble,19,136,2584,Varanasi
1/22/2013,Johanna  Boone , Nestle Rowntree Fruit Pastil,1,254,254,Mysore
1/22/2013,Edwin  Malone ,   Nestle Smarties Pop-Up,2,136,272,Kolkata
1/23/2013,Della  Jensen ,      Nestle Rowntree Fruit Pastil,2,450,900,Patna
1/23/2013,Blake  Bridges ,   Nestle Maxibon Cookie,2,439,878,Cochin
1/23/2013,Mable  Lindsey , Nestle Kit Kat Cone,23,140,3220,Ahmedabad
1/23/2013,Ernest  Davis ,   Nestle Aero Mint Potz,3,259,777,Mumbai
1/23/2013,Della  Jensen ,   Nestle Toffee Crumble,2,324,648,Patna
1/24/2013,Robert  Munoz , Nestle Toffee Crumble,2,374,748,Delhi
1/24/2013,Cecilia  Manning ,   Nestle Rolo Potz,11,433,4763,Trivandrum
1/24/2013,Salvador  Bass ,     Nestle Aero Mint Potz,3,377,1131,Goa
1/25/2013,Cassandra  Franklin ,      Nestle Rowntree Fruit Pastil,2,308,616,Delhi
1/25/2013,Lee  Mack ,      Nestle Fab,1,199,199,Delhi
1/25/2013,Rachel  Gomez ,        Nestle Milky Bar Stick,3,464,1392,Delhi
1/25/2013,Shari  Silva , Nestle Maxibon Cookie,2,319,638,Mysore
1/26/2013,Shari  Silva , Nestle Rowntree Fruit Pastil,2,465,930,Mysore
1/26/2013,Robert  Munoz ,      Nestle Milky Bar Stick,2,182,364,Delhi
1/26/2013,Ernest  Davis ,        Nestle Milky Bar Stick,1,401,401,Mumbai
1/26/2013,Lee  Mack ,   Nestle Smarties Pop-Up,7,293,2051,Delhi
1/26/2013,Rachel  Gomez ,  Nestle Kit Kat Cone,1,147,147,Delhi
1/26/2013,Andrew  Meyer ,     Nestle Fab,20,136,2720,Mumbai
1/27/2013,Isabel  Cross ,       Nestle Smarties Pop-Up,20,348,6960,Ranchi
1/27/2013,Cindy  Becker ,       Nestle Fab,2,244,488,Bangalore
1/27/2013,Felicia  Jennings ,   Nestle Milky Bar Stick,1,253,253,Pune
1/27/2013,Della  Jensen ,    Nestle Aero Mint Potz,1,155,155,Patna
1/28/2013,Bernadette  Page ,       Nestle Aero Mint Potz,2,100,200,Delhi
1/28/2013,Rachel  Gomez ,        Nestle Milky Bar Stick,1,319,319,Delhi
1/28/2013,Cecilia  Manning , Nestle Aero Mint Potz,3,284,852,Trivandrum
1/29/2013,Lee  Mack ,    Nestle Rowntree Fruit Pastil,1,167,167,Delhi
1/29/2013,Robert  Munoz , Nestle Rowntree Fruit Pastil,2,370,740,Delhi
1/29/2013,Lee  Mack ,     Nestle Rowntree Fruit Pastil,22,365,8030,Delhi
1/30/2013,Carla  Mccormick ,    Nestle Smarties Pop-Up,3,222,666,Varanasi
1/30/2013,Iris  Underwood ,   Nestle Milky Bar Stick,1,200,200,Pune
1/30/2013,Brooke  Horton ,        Nestle Smarties Pop-Up,3,429,1287,Nainital
1/31/2013,Edwin  Malone ,        Nestle Smarties Pop-Up,3,129,387,Kolkata
1/31/2013,Johanna  Boone ,      Nestle Rowntree Fruit Pastil,2,355,710,Mysore
1/31/2013,Cassandra  Franklin , Nestle Milky Bar Stick,2,168,336,Delhi
1/31/2013,Guillermo  Potter , Nestle Milky Bar Stick,2,210,420,Nainital
1/31/2013,Edwin  Malone ,  Nestle Fab,1,138,138,Kolkata
1/31/2013,Joey  Wong ,       Nestle Smarties Pop-Up,3,493,1479,Goa
2/1/2013,Rachel  Gomez ,      Nestle Rowntree Fruit Pastil,1,160,160,Delhi
2/1/2013,Joey  Wong ,    Nestle Maxibon Cookie,2,151,302,Goa
2/1/2013,Trevor  Jones ,     Nestle Aero Mint Potz,3,383,1149,Pune
2/1/2013,Andrew  Meyer ,        Nestle Rowntree Screamers,3,187,561,Mumbai
2/1/2013,Drew  Rogers ,   Nestle Smarties Pop-Up,1,111,111,Delhi
2/1/2013,Max  Rodgers ,       Nestle Rowntree Fruit Pastil,1,114,114,Nagpur
2/1/2013,Mable  Lindsey ,       Nestle Milky Bar Stick,2,208,416,Ahmedabad
2/2/2013,Colleen  Warren , Nestle Smarties Pop-Up,1,288,288,Ahmedabad
2/2/2013,Cassandra  Franklin ,      Nestle Milky Bar Stick,3,282,846,Delhi
2/3/2013,Pauline  Beck ,      Nestle Rowntree Fruit Pastil,1,372,372,Pune
2/3/2013,Joey  Wong ,        Nestle Kit Kat Cone,2,119,238,Goa
2/3/2013,Trevor  Jones ,     Nestle Toffee Crumble,1,114,114,Pune
2/3/2013,Cindy  Becker ,       Nestle Fab,1,367,367,Bangalore
2/4/2013,Trevor  Jones ,      Nestle Aero Mint Potz,3,247,741,Pune
2/4/2013,Robert  Munoz ,  Nestle Rolo Potz,2,365,730,Delhi
2/4/2013,Max  Rodgers ,  Nestle Rowntree Screamers,1,410,410,Nagpur
2/5/2013,Bobbie  Ryan , Nestle Aero Mint Potz,3,163,489,Darjeeling
2/5/2013,Beth  Tucker ,  Nestle Kit Kat Cone,2,164,328,Pune
2/5/2013,Robert  Munoz ,   Nestle Nobbly Bobbly,2,278,556,Delhi
2/6/2013,Elvira  Bowman ,  Nestle Smarties Pop-Up,3,396,1188,Srinagar
2/6/2013,Brooke  Horton ,     Nestle Toffee Crumble,2,296,592,Nainital
2/6/2013,Salvador  Bass , Nestle Smarties Pop-Up,1,233,233,Goa
2/6/2013,Patty  Thompson , Nestle Rolo Potz,3,189,567,Mumbai
2/6/2013,Felicia  Jennings ,       Nestle Rolo Potz,1,118,118,Pune
2/6/2013,Edwin  Malone ,      Nestle Kit Kat Cone,1,426,426,Kolkata
2/6/2013,Iris  Underwood ,      Nestle Kit Kat Cone,3,435,1305,Pune
2/6/2013,Salvador  Bass ,  Nestle Fab,1,464,464,Goa
2/7/2013,Jaime  Pearson , Nestle Milky Bar Stick,1,337,337,Jodhpur
2/7/2013,Arturo  Francis ,       Nestle Smarties Pop-Up,1,472,472,Ranchi
2/7/2013,Shari  Silva ,        Nestle Fab,3,185,555,Mysore
2/7/2013,Herman  Williams , Nestle Toffee Crumble,1,416,416,Darjeeling
2/8/2013,Trevor  Jones ,       Nestle Smarties Pop-Up,1,396,396,Pune
2/8/2013,Eric  Rose , Nestle Fab,2,248,496,Mumbai
2/8/2013,Lula  Daniels ,  Nestle Toffee Crumble,12,217,2604,Nainital
2/8/2013,Fernando  Rowe ,      Nestle Rowntree Fruit Pastil,1,317,317,Ahmedabad
2/8/2013,Lorraine  Gibson ,     Nestle Toffee Crumble,3,362,1086,Kolkata
2/8/2013,Donna  Reid ,      Nestle Fab,2,137,274,Goa
2/8/2013,Rachel  Gomez ,    Nestle Rowntree Fruit Pastil,4,294,1176,Delhi
2/9/2013,Jaime  Pearson ,     Nestle Rowntree Screamers,2,146,292,Jodhpur
2/9/2013,Donna  Reid , Nestle Rolo Potz,13,463,6019,Goa
2/9/2013,Lynette  Brewer ,  Nestle Rowntree Fruit Pastil,2,464,928,Varanasi
2/9/2013,Colleen  Warren ,    Nestle Milky Bar Stick,2,394,788,Ahmedabad
2/9/2013,Robert  Munoz ,   Nestle Smarties Pop-Up,1,136,136,Delhi
2/9/2013,Iris  Underwood ,  Nestle Rowntree Fruit Pastil,3,361,1083,Pune
2/10/2013,Kyle  Carr ,    Nestle Nobbly Bobbly,3,217,651,Delhi
2/10/2013,Robert  Munoz ,     Nestle Rowntree Screamers,2,286,572,Delhi
2/11/2013,Arturo  Francis ,    Nestle Rolo Potz,3,132,396,Ranchi
2/11/2013,Mable  Lindsey ,        Nestle Aero Mint Potz,2,331,662,Ahmedabad
2/11/2013,Johanna  Boone ,    Nestle Aero Mint Potz,4,294,1176,Mysore
2/11/2013,Lula  Daniels ,       Nestle Toffee Crumble,18,163,2934,Nainital
2/11/2013,Tracy  Reed ,      Nestle Maxibon Cookie,3,487,1461,Agra
2/11/2013,Eddie  Green ,   Nestle Smarties Pop-Up,3,144,432,Durgapur
2/11/2013,Herman  Williams ,        Nestle Toffee Crumble,1,269,269,Darjeeling
2/11/2013,Guillermo  Potter , Nestle Rolo Potz,3,166,498,Nainital
2/11/2013,Ernest  Davis ,     Nestle Fab,4,469,1876,Mumbai
2/12/2013,Trevor  Jones ,     Nestle Rowntree Screamers,1,122,122,Pune
2/12/2013,Brooke  Horton ,        Nestle Smarties Pop-Up,4,140,560,Nainital
2/12/2013,Herman  Williams ,       Nestle Nobbly Bobbly,1,133,133,Darjeeling
2/13/2013,Eddie  Green ,    Nestle Fab,1,308,308,Durgapur
2/13/2013,Salvador  Bass ,    Nestle Aero Mint Potz,3,186,558,Goa
2/13/2013,Iris  Underwood ,  Nestle Fab,3,248,744,Pune
2/14/2013,Donna  Reid ,        Nestle Toffee Crumble,3,386,1158,Goa
2/14/2013,Rachel  Gomez ,   Nestle Rowntree Screamers,1,269,269,Delhi
2/14/2013,Bobbie  Ryan ,   Nestle Aero Mint Potz,1,470,470,Darjeeling
2/14/2013,Eddie  Green ,       Nestle Milky Bar Stick,4,261,1044,Durgapur
2/14/2013,Shari  Silva ,       Nestle Milky Bar Stick,3,197,591,Mysore
2/15/2013,Lynette  Brewer ,  Nestle Nobbly Bobbly,2,433,866,Varanasi
2/15/2013,Pauline  Beck , Nestle Rowntree Fruit Pastil,3,437,1311,Pune
2/15/2013,Charlie  Wood ,     Nestle Fab,2,331,662,Agra
2/15/2013,Bethany  Pena ,      Nestle Maxibon Cookie,2,221,442,Nagpur
2/15/2013,Shari  Silva ,    Nestle Rolo Potz,2,362,724,Mysore
2/16/2013,Ernest  Davis ,   Nestle Smarties Pop-Up,2,364,728,Mumbai
2/16/2013,Lance  Yates ,       Nestle Maxibon Cookie,3,391,1173,Srinagar
2/16/2013,Jenny  Garcia ,   Nestle Kit Kat Cone,3,210,630,Shimla
2/17/2013,Pauline  Beck ,   Nestle Aero Mint Potz,18,205,3690,Pune
2/17/2013,Ellen  Weaver ,        Nestle Fab,2,365,730,Hyderabad
2/17/2013,Austin  Reynolds ,     Nestle Aero Mint Potz,3,344,1032,Kolkata
2/17/2013,Willie  Vega ,      Nestle Maxibon Cookie,3,145,435,Delhi
2/17/2013,Salvador  Bass ,     Nestle Aero Mint Potz,3,109,327,Goa
2/17/2013,Rachel  Gomez ,  Nestle Milky Bar Stick,13,293,3809,Delhi
2/18/2013,Drew  Rogers ,       Nestle Nobbly Bobbly,4,467,1868,Delhi
2/18/2013,Guillermo  Potter ,      Nestle Aero Mint Potz,4,296,1184,Nainital
2/19/2013,Cassandra  Franklin , Nestle Toffee Crumble,4,390,1560,Delhi
2/19/2013,Cindy  Becker ,       Nestle Milky Bar Stick,17,410,6970,Bangalore
2/20/2013,Max  Rodgers ,    Nestle Fab,2,213,426,Nagpur
2/20/2013,Shari  Silva ,      Nestle Rowntree Fruit Pastil,3,101,303,Mysore
2/20/2013,Robert  Munoz ,     Nestle Aero Mint Potz,3,101,303,Delhi
2/21/2013,Cassandra  Franklin ,       Nestle Rolo Potz,1,291,291,Delhi
2/21/2013,Salvador  Bass ,   Nestle Smarties Pop-Up,2,347,694,Goa
2/21/2013,Johanna  Boone ,    Nestle Maxibon Cookie,3,485,1455,Mysore
2/21/2013,Eddie  Green ,    Nestle Milky Bar Stick,1,338,338,Durgapur
2/21/2013,Woodrow  Colon ,        Nestle Nobbly Bobbly,3,141,423,Cochin
2/22/2013,Iris  Underwood ,        Nestle Kit Kat Cone,16,474,7584,Pune
2/22/2013,Isabel  Cross ,  Nestle Rolo Potz,3,409,1227,Ranchi
2/22/2013,Max  Rodgers ,      Nestle Kit Kat Cone,1,453,453,Nagpur
2/22/2013,Charlie  Wood ,    Nestle Kit Kat Cone,13,354,4602,Agra
2/23/2013,Tiffany  May ,      Nestle Rowntree Screamers,3,253,759,Agra
2/23/2013,Marian  Hill ,   Nestle Milky Bar Stick,1,301,301,Trivandrum
2/23/2013,Isabel  Cross ,        Nestle Aero Mint Potz,3,409,1227,Ranchi
2/23/2013,Salvador  Bass ,     Nestle Nobbly Bobbly,3,447,1341,Goa
2/23/2013,Lula  Daniels ,   Nestle Fab,4,142,568,Nainital
2/24/2013,Brooke  Horton ,    Nestle Rowntree Fruit Pastil,1,280,280,Nainital
2/24/2013,Salvador  Bass ,     Nestle Rowntree Fruit Pastil,1,247,247,Goa
2/24/2013,Felicia  Jennings ,       Nestle Aero Mint Potz,3,284,852,Pune
2/24/2013,Elbert  Klein ,  Nestle Milky Bar Stick,2,401,802,Cochin
2/24/2013,Cecilia  Manning ,    Nestle Toffee Crumble,3,365,1095,Trivandrum
2/24/2013,Bobbie  Ryan ,       Nestle Rolo Potz,2,222,444,Darjeeling
2/25/2013,Elvira  Bowman ,      Nestle Rowntree Fruit Pastil,3,440,1320,Srinagar
2/26/2013,Edwin  Malone ,   Nestle Maxibon Cookie,20,325,6500,Kolkata
2/26/2013,Jaime  Pearson ,        Nestle Kit Kat Cone,1,336,336,Jodhpur
2/26/2013,Shari  Silva ,     Nestle Nobbly Bobbly,2,236,472,Mysore
2/26/2013,Robert  Munoz ,       Nestle Fab,2,177,354,Delhi
2/26/2013,Johanna  Boone ,       Nestle Smarties Pop-Up,3,401,1203,Mysore
2/26/2013,Drew  Rogers ,       Nestle Rowntree Screamers,2,204,408,Delhi
2/26/2013,Tiffany  May , Nestle Smarties Pop-Up,1,413,413,Agra
2/27/2013,Willie  Vega ,        Nestle Fab,1,106,106,Delhi
2/27/2013,Robert  Munoz ,  Nestle Rowntree Fruit Pastil,2,121,242,Delhi
2/27/2013,Isabel  Cross ,        Nestle Fab,2,475,950,Ranchi
2/27/2013,Tiffany  May ,   Nestle Rowntree Screamers,3,438,1314,Agra
2/27/2013,Robert  Munoz , Nestle Toffee Crumble,2,317,634,Delhi
2/27/2013,Andrew  Meyer ,     Nestle Fab,2,159,318,Mumbai
2/28/2013,Donna  Reid , Nestle Fab,2,476,952,Goa
2/28/2013,Jaime  Pearson ,        Nestle Smarties Pop-Up,2,410,820,Jodhpur
2/28/2013,Kyle  Carr ,    Nestle Aero Mint Potz,3,407,1221,Delhi
2/28/2013,Robert  Munoz ,        Nestle Toffee Crumble,24,491,11784,Delhi
2/28/2013,Trevor  Jones ,    Nestle Kit Kat Cone,1,246,246,Pune
2/28/2013,Johanna  Boone ,      Nestle Toffee Crumble,2,204,408,Mysore
3/1/2013,Jenny  Garcia ,       Nestle Toffee Crumble,24,204,4896,Shimla
3/1/2013,Brooke  Horton ,  Nestle Smarties Pop-Up,1,355,355,Nainital
3/1/2013,Salvador  Bass ,     Nestle Toffee Crumble,2,421,842,Goa
3/1/2013,Kyle  Carr , Nestle Toffee Crumble,1,302,302,Delhi
3/1/2013,Della  Jensen ,        Nestle Kit Kat Cone,1,197,197,Patna
3/2/2013,Bethany  Pena ,    Nestle Aero Mint Potz,1,152,152,Nagpur
3/2/2013,Marion  Glover ,  Nestle Rowntree Fruit Pastil,3,412,1236,Durgapur
3/3/2013,Eric  Rose , Nestle Rowntree Fruit Pastil,2,137,274,Mumbai
3/3/2013,Sonya  Mullins ,       Nestle Aero Mint Potz,2,479,958,Kolkata
3/3/2013,Elaine  Ellis , Nestle Rolo Potz,2,291,582,Hyderabad
3/3/2013,Elvira  Bowman ,   Nestle Smarties Pop-Up,4,252,1008,Srinagar
3/3/2013,Jaime  Pearson ,        Nestle Milky Bar Stick,3,162,486,Jodhpur
3/3/2013,Iris  Underwood ,  Nestle Rowntree Screamers,1,149,149,Pune
3/3/2013,Robert  Munoz , Nestle Smarties Pop-Up,2,138,276,Delhi
3/4/2013,Iris  Underwood ,    Nestle Smarties Pop-Up,2,383,766,Pune
3/4/2013,Rachel  Gomez ,  Nestle Aero Mint Potz,2,238,476,Delhi
3/4/2013,Elvira  Bowman ,     Nestle Smarties Pop-Up,2,415,830,Srinagar
3/4/2013,Christy  Olson ,        Nestle Aero Mint Potz,1,211,211,Surat
3/4/2013,Christina  Fuller ,      Nestle Milky Bar Stick,10,101,1010,Nagpur
3/4/2013,Salvador  Bass ,  Nestle Nobbly Bobbly,1,494,494,Goa
3/4/2013,Lorraine  Gibson ,       Nestle Milky Bar Stick,3,389,1167,Kolkata
3/5/2013,Don  Gonzales ,    Nestle Smarties Pop-Up,2,235,470,Mysore
3/5/2013,Max  Rodgers ,       Nestle Smarties Pop-Up,3,207,621,Nagpur
3/5/2013,Charlie  Wood ,       Nestle Fab,3,239,717,Agra
3/5/2013,Blake  Bridges ,    Nestle Kit Kat Cone,3,429,1287,Cochin
3/6/2013,Billie  Chandler ,       Nestle Nobbly Bobbly,21,367,7707,Surat
3/6/2013,Lee  Mack , Nestle Rowntree Screamers,2,364,728,Delhi
3/6/2013,Isabel  Cross ,     Nestle Toffee Crumble,7,125,875,Ranchi
3/6/2013,Marian  Hill ,        Nestle Rolo Potz,2,433,866,Trivandrum
3/6/2013,Brooke  Horton ,   Nestle Fab,3,496,1488,Nainital
3/7/2013,Iris  Underwood , Nestle Milky Bar Stick,2,104,208,Pune
3/7/2013,Rachel  Gomez ,   Nestle Maxibon Cookie,2,401,802,Delhi
3/7/2013,Rachel  Gomez ,    Nestle Aero Mint Potz,16,215,3440,Delhi
3/8/2013,Joey  Wong ,  Nestle Maxibon Cookie,1,211,211,Goa
3/8/2013,Kyle  Carr ,  Nestle Toffee Crumble,1,130,130,Delhi
3/8/2013,Lee  Mack ,      Nestle Toffee Crumble,4,254,1016,Delhi
3/8/2013,Nellie  Joseph , Nestle Rowntree Fruit Pastil,3,494,1482,Patna
3/8/2013,Felicia  Jennings ,     Nestle Milky Bar Stick,2,265,530,Pune
3/8/2013,Christina  Fuller , Nestle Milky Bar Stick,9,243,2187,Nagpur
3/9/2013,Ivan  Adkins ,   Nestle Milky Bar Stick,3,276,828,Mumbai
3/9/2013,Billie  Chandler ,    Nestle Aero Mint Potz,2,489,978,Surat
3/9/2013,Ellen  Weaver , Nestle Rowntree Fruit Pastil,3,259,777,Hyderabad
3/9/2013,Sylvester  Morales ,    Nestle Smarties Pop-Up,2,386,772,Mumbai
3/9/2013,Cassandra  Franklin ,   Nestle Rowntree Fruit Pastil,2,471,942,Delhi
3/9/2013,Andrew  Meyer ,        Nestle Rolo Potz,2,277,554,Mumbai
3/10/2013,Patty  Thompson , Nestle Smarties Pop-Up,11,291,3201,Mumbai
